Dimension,Dimension Label,Statement,Unhelpful Thoughts (CBT_Stage1),Unhelpful Thoughts Label,Challenge (CBT_Stage2),Challenge Label,Another Way (CBT_Stage3),Another Way Label
Maintaining stable weight,1_weight,I lost a lot of weight lately. I haven't been eating well because I'm too busy.,"When I have many things to do, I think that eating will impede my work and is wasting too much time.",0,"Maybe not eating enough will make me more tired, and I will be less efficient at my work.",0,I can eat healthy foods that does not take too long to eat. This way I can be efficient and maintain my weight.,0
Maintaining stable weight,1_weight,I lost a lot of weight lately. I haven't been eating well because I'm too busy.,"When I have a lot of things to finish, I loose my appetite and often forgets to eat.",0,Perhaps I am hungry but the stress just takes over and I can't feel it.,0,I can set a regular schedule dedicated for meals and stay healthy that way.,0
Maintaining stable weight,1_weight,I lost a lot of weight lately. I haven't been eating regularly because I'm too busy.,I don't need to eat because I don't feel hungry.,1,Maybe I am hungry but I just don't feel it.,0,I will just force myself to eat even when I don't want to.,1
Maintaining stable weight,1_weight,I gained a lot of weight recently because I can't control what to eat. I always feel hungry and need to eat something.,"When there is something that I want to eat, I often tell myself that it probably isn't that much calories and I can excercise later, but I never do that.",0,How am I sure that the food I eat are not high calorie? Did I check the label before eating it or am I just deceiving myself?,0,"I will check the labels next time before I eat something, but that probably won't stop me from eating it.",1
Maintaining stable weight,1_weight,I gained a lot of weight recently. I feel so fat right now.,I am very stressed lately and I find eating as the only way to relieve that.,0,Does eating more actually relive my stress? Could there be other ways to relax?,0,"I can try to find another way to deal with stress that does not involve excessive eating, or eat something healthier.",0
Maintaining stable weight,1_weight,I gained a lot of weight recently because I'm too lazy to move and I love eating junk food. They are very good and don't like to eat other things.,It takes too much effort to excercise and I will feel too tired after it. Junk foods are cheap and tasty so I like them.,0,Does excercising really take that much effort? I might have chose the wrong excercises to do. Could there be other food that are also tasty and cheap?,0,I will start with some easier excerise and watch some food reviews to find tasty and good food.,0
Managing mood,2_mood,I feel a lot of pressure recently. I'm just overwhelmed by all the tasks that I have to finish.,There are too many deadlines to catch and I can't imagine how bad I'm gonna look if I don't make them on time.,0,Will I actually be judged if I miss a deadline or two? Maybe I shouldn't be too worried right now because there is still time.,0,I don't need to feel too much pressure because I can probably finish everything on time and it wouldn't be the end of my life if I don't. Everyone makes mistakes.,0
Managing mood,2_mood,I feel a lot of pressure recently and I don't know what to do. I think I overestimated what I can complete.,There are too many deadlines to catch and I can't imagine how bad I'm gonna look if I don't make them on time.,0,Will I actually be judged if I miss a deadline or two? Maybe I shouldn't be too worried right now because there is still time.,0,I still can't imagine if I would be fine. I must work even harder.,1
Managing mood,2_mood,I am very sad these days because I don't have any friends in the city I just I moved to and I can't make any.,People here must already have established friends groups so they won't easily accept me. I can't just walk up to random people and meet them.,0,Are there really no one that wants new friends at this place? Maybe there are newcomers like me or some people are just more welcoming. Is walking up to random people the only way to make friends?,0,There are many ways to make new friends. I can go on social media and find people with the same hobbies.,0
Managing mood,2_mood,I am very sad these days because I don't have any friends in the city I just I moved to and I can't make any.,People here must already have established friends groups so they won't easily accept me. I can't just walk up to random people and meet them.,0,Are there really no one that wants new friends at this place? Maybe there are newcomers like me or some people are just more welcoming. Is walking up to random people the only way to make friends?,0,I am not confident in meeting new people. Maybe I will just stay this way and just live with it. ,1
